Hole Depth,True Vertical Depth,Rate Of Penetration,Convertible Torque,YYYY/MM/DD,HH:MM:SS,Memos
10.00,14.8,405.46,683,2021/10/08,13:12:39,Smart Alarms: On,HOLE DEPTH HAS BEEN CHANGED TO .00 FEET TOTAL STROKES HAS BEEN RESET TO ZERO,Smart Alarms: Off,ZWOB FROM Rig Display Drilling ZDIFF FROM Rig Display Drilling,ZWOB FROM Rig Display Drilling WHILE ON BOTTOM ZDIFF FROM Rig Display Drilling WHILE ON BOTTOM
20.00,24.8,92.00,2089,2021/10/08,13:20:42,
30.00,34.8,91.97,1736,2021/10/08,13:28:49,MW IN 8.4,ZWOB FROM Rig Display Drilling ZDIFF FROM Rig Display Drilling,ZWOB FROM Rig Display Drilling ZDIFF FROM Rig Display Drilling
40.00,44.8,137.41,2101,2021/10/08,13:43:59,
50.00,54.8,137.38,2567,2021/10/08,13:48:31,
60.00,64.0,146.48,2480,2021/10/08,13:52:34,
70.00,-999.25,-999.25,-999.25,2021/10/08,13:52:34,HOLE DEPTH CHANGED TO 270.0 FEET,BIT DEPTH CHANGED TO 267.0 FEET,ZWOB FROM Rig Display Drilling ZDIFF FROM Rig Display Drilling
80.00,84.8,175.04,2269,2021/10/08,14:01:50,
90.00,94.8,213.69,2336,2021/10/08,14:04:56,
100.00,104.8,213.99,3542,2021/10/08,14:07:50,ZWOB FROM Rig Display Drilling ZDIFF FROM Rig Display Drilling
110.00,114.8,214.19,2628,2021/10/08,14:18:30,
120.00,124.8,277.00,2998,2021/10/08,14:20:56,
130.00,134.8,305.88,3609,2021/10/08,14:23:02,ZWOB FROM Rig Display Drilling ZDIFF FROM Rig Display Drilling
140.00,144.8,305.53,2907,2021/10/08,14:32:18,
150.00,154.8,335.64,3251,2021/10/08,14:34:17,
160.00,164.8,360.93,3497,2021/10/08,14:36:02,ZWOB FROM Rig Display Drilling ZDIFF FROM Rig Display Drilling,PUMPING SWEEP
170.00,174.8,362.05,2967,2021/10/08,14:45:56,
180.00,184.8,435.06,3687,2021/10/08,14:47:27,
190.00,194.8,467.85,5067,2021/10/08,14:48:53,
200.00,204.8,459.25,3601,2021/10/08,14:57:55,
210.00,214.8,544.64,5274,2021/10/08,14:59:05,
220.00,224.8,563.06,5051,2021/10/08,15:06:51,
230.00,234.8,453.27,4116,2021/10/08,15:08:35,
240.00,244.8,553.49,4900,2021/10/08,15:09:44,ZWOB FROM Rig Display Drilling ZDIFF FROM Rig Display Drilling
250.00,254.8,564.38,5230,2021/10/08,15:17:05,MW IN 8.5
260.00,264.8,538.25,4008,2021/10/08,15:18:31,
270.00,274.8,608.95,5713,2021/10/08,15:19:32,
280.00,284.8,611.32,4484,2021/10/08,15:26:31,
290.00,294.8,545.55,5143,2021/10/08,15:27:45,
300.00,304.8,549.19,5467,2021/10/08,15:28:51,PUMPING SWEEP
310.00,314.8,544.51,4448,2021/10/08,15:36:46,
320.00,324.8,519.56,4961,2021/10/08,15:38:03,
330.00,334.8,579.99,4775,2021/10/08,15:39:07,IN TALLY: HOLE DEPTH SET TO 1114.2
340.00,344.8,581.65,3114,2021/10/08,15:50:16,
350.00,354.8,439.25,3751,2021/10/08,15:53:27,
360.00,364.8,579.90,6155,2021/10/08,15:54:32,
370.00,374.8,580.25,3082,2021/10/08,16:05:13,
380.00,384.8,413.31,2612,2021/10/08,16:08:50,
390.00,394.8,503.80,5331,2021/10/08,16:10:32,
400.00,404.8,456.50,2801,2021/10/08,16:22:20,PUMPING SWEEP
410.00,414.7,455.27,4768,2021/10/08,16:25:06,
420.00,424.7,457.11,5860,2021/10/08,16:26:31,MW IN 8.5,IN TALLY: HOLE DEPTH SET TO 1396.3
430.00,434.7,152.99,2420,2021/10/08,16:39:05,
440.00,444.7,442.75,6204,2021/10/08,16:40:41,
450.00,454.6,385.41,5151,2021/10/08,16:50:12,
460.00,464.6,183.34,1886,2021/10/08,16:55:50,
470.00,474.6,460.64,6523,2021/10/08,16:57:21,
